CÓDIGO;CNPJ;STATUS
2317;2,15852E+13;Parametro Correto
1981;8,79459E+12;Parametro Correto
2947;1,35769E+13;Parametro Correto
1709;1,52842E+13;Parametro Correto
2079;7,07558E+12;Parametro Correto
1829;5,46722E+13;Parametro Correto
2371;2,20924E+13;Parametro Correto
1982;9,55033E+12;Parametro Correto
2150;9,30863E+12;Parametro Correto
2268;5,61499E+12;Parametro Correto
914;2,87542E+13;Parametro Correto
3585;4,81493E+13;Parametro Correto
3204;2,07934E+12;Parametro Correto
2335;2,2087E+13;Parametro Correto
1926;3,00103E+13;Parametro Correto
3089;2,76552E+13;Parametro Correto
3107;5,80561E+12;Parametro Correto
2260;2,51902E+13;Parametro Correto
2223;1,35358E+13;Parametro Correto
1364;2,81733E+12;Parametro Correto
2109;2,80303E+13;Parametro Correto
3109;2,36499E+13;Parametro Correto
2247;5,56561E+13;Parametro Correto
3110;1,10662E+13;Parametro Correto
1820;2,61287E+13;Parametro Correto
2282;2,03029E+13;Parametro Correto
804;1,14115E+13;Empresa não encontrada
2104;2,52421E+13;Empresa não encontrada
799;2,52421E+13;Empresa não encontrada
3443;2,52421E+13;Empresa não encontrada
4377;2,52421E+13;empresa erro modulo
4378;2,52421E+13;empresa erro modulo
4379;2,52421E+13;empresa erro modulo
1860;7,7876E+12;Parametro Correto
2395;1,49152E+13;Parametro Correto
343;5,72124E+13;Parametro Correto
2216;5,67754E+12;Parametro Correto
1831;3,34313E+13;Parametro Correto
3373;1,214E+13;Parametro Correto
3411;4,73703E+12;Parametro Correto
1790;1,04945E+13;Parametro Correto
756;3,17254E+13;Parametro Correto
853;9,22773E+12;Parametro Correto
1999;8,88485E+12;Parametro Correto
3120;3,41941E+13;Parametro Correto
1693;4,91119E+12;Parametro Correto
692;8,83101E+12;Parametro Correto
363;2,12152E+13;Parametro Correto
