CÓDIGO;CNPJ;STATUS
5038;3,22E+13;Patrimonio OK
687;4,60E+13;Patrimonio OK
1592;3,84E+12;Patrimonio OK
2353;1,94E+13;Patrimonio OK
1251;2,25E+13;Patrimonio OK
2354;3,97E+13;Patrimonio OK
725;6,24E+13;Patrimonio OK
732;2,24E+13;Patrimonio OK
3286;4,98E+13;Patrimonio OK
1522;1,92E+12;Patrimonio OK
803;1,73E+13;Patrimonio OK
806;7,97E+12;Patrimonio OK
824;1,55E+13;Patrimonio OK
825;9,49E+12;Patrimonio OK
2233;2,00E+13;Patrimonio OK
883;1,12E+13;Patrimonio OK
3049;1,02E+13;Patrimonio OK
3051;1,28E+13;Patrimonio OK
191;4,57E+12;Patrimonio OK
1997;1,48E+13;Patrimonio OK
2116;1,66E+13;Patrimonio OK
192;3,66E+13;Patrimonio OK
194;2,04E+13;Patrimonio OK
983;7,09E+11;Patrimonio OK
1555;2,04E+13;Patrimonio OK
1631;5,77E+13;Patrimonio OK
3597;4,83E+13;Patrimonio OK
3071;7,16E+13;Patrimonio OK
#N/D;2,45E+13;Empresa não encontrada
1556;5,13E+13;Patrimonio OK
2444;1,04E+12;Patrimonio OK
3482;1,42E+13;Patrimonio OK
1560;1,28E+13;Patrimonio OK
2161;3,32E+13;Patrimonio OK
2557;3,32E+12;Patrimonio OK
1161;9,62E+13;Patrimonio OK
1759;2,62E+12;Patrimonio OK
1116;1,21E+13;Patrimonio OK
1443;1,82E+13;Patrimonio OK
1606;5,96E+13;Patrimonio OK
1571;1,08E+13;Patrimonio OK
1103;4,25E+13;Patrimonio OK
1096;1,85E+13;Patrimonio OK
3642;4,87E+13;Patrimonio OK
1093;1,44E+13;Patrimonio OK
1092;6,06E+11;Patrimonio OK
875;8,17E+12;Patrimonio OK
1075;9,09E+12;Patrimonio OK
3073;2,30E+13;Patrimonio OK
2347;2,15E+13;Patrimonio OK
1586;1,24E+13;Patrimonio OK
1617;7,10E+12;Patrimonio OK
1588;6,66E+13;Patrimonio OK
4382;2,41E+13;Patrimonio OK
2226;2,09E+13;Patrimonio OK
3078;7,38E+11;Patrimonio OK
1048;1,26E+13;Patrimonio OK
3217;7,38E+12;Patrimonio OK
1463;1,11E+13;Patrimonio OK
1626;4,61E+13;Patrimonio OK
1806;6,30E+13;Patrimonio OK
1041;4,35E+12;Patrimonio OK
1402;2,94E+13;Patrimonio OK
1878;2,43E+13;Patrimonio OK
1572;3,50E+12;Patrimonio OK
1019;5,63E+13;Patrimonio OK
1018;7,67E+12;Patrimonio OK
2217;1,12E+13;Patrimonio OK
3445;4,67E+13;Patrimonio OK
1602;8,18E+12;Patrimonio OK
2097;1,07E+13;Patrimonio OK
1403;8,40E+12;Patrimonio OK
3439;4,66E+13;Patrimonio OK
2053;1,69E+13;Patrimonio OK
1640;3,47E+12;Patrimonio OK
1934;4,31E+13;Patrimonio OK
1004;4,08E+12;Patrimonio OK
280;1,33E+13;Patrimonio OK
1577;5,73E+12;Patrimonio OK
1612;1,24E+13;Patrimonio OK
4383;1,57E+13;Patrimonio OK
1000;9,50E+12;Patrimonio OK
1589;9,33E+13;Patrimonio OK
1578;2,42E+13;Patrimonio OK
959;2,82E+12;Patrimonio OK
3211;1,56E+13;Patrimonio OK
2278;3,64E+13;Patrimonio OK
932;6,35E+12;Patrimonio OK
926;2,53E+12;Patrimonio OK
3097;5,35E+12;Patrimonio OK
924;2,83E+13;Patrimonio OK
922;3,57E+12;Patrimonio OK
921;2,31E+13;Patrimonio OK
2078;1,54E+12;Patrimonio OK
904;5,47E+13;Patrimonio OK
3751;1,50E+13;Patrimonio OK
880;3,33E+13;Patrimonio OK
1542;2,06E+13;Patrimonio OK
2412;2,52E+13;Patrimonio OK
2406;9,51E+12;Patrimonio OK
1681;2,77E+13;Patrimonio OK
854;2,16E+13;Patrimonio OK
3544;3,64E+13;Patrimonio OK
1748;8,76E+12;Patrimonio OK
2281;1,47E+13;Patrimonio OK
2062;1,15E+13;Patrimonio OK
5028;3,15E+13;Patrimonio OK
2332;5,90E+12;Patrimonio OK
2298;3,66E+13;Patrimonio OK
845;4,29E+13;Patrimonio OK
2438;1,03E+13;Patrimonio OK
3524;9,66E+13;Patrimonio OK
2439;2,46E+13;Patrimonio OK
324;1,50E+13;Patrimonio OK
843;4,20E+13;Patrimonio OK
3144;2,35E+13;Patrimonio OK
1458;4,37E+13;Patrimonio OK
1613;8,24E+12;Patrimonio OK
826;3,93E+13;Patrimonio OK
1444;4,37E+13;Patrimonio OK
821;1,04E+13;Patrimonio OK
1905;1,89E+13;Patrimonio OK
1583;1,11E+13;Patrimonio OK
810;1,82E+12;Patrimonio OK
1582;4,58E+13;Patrimonio OK
2939;4,46E+13;Patrimonio OK
3132;2,95E+13;Patrimonio OK
801;9,42E+12;Patrimonio OK
1601;1,51E+13;Patrimonio OK
1553;2,50E+13;Patrimonio OK
3210;1,26E+13;Patrimonio OK
1628;7,50E+12;Patrimonio OK
795;4,48E+13;Patrimonio OK
789;7,78E+12;Patrimonio OK
1568;1,42E+13;Patrimonio OK
787;1,21E+13;Patrimonio OK
783;3,98E+13;Patrimonio OK
781;2,76E+13;Patrimonio OK
3540;1,72E+13;Patrimonio OK
2208;1,15E+13;Patrimonio OK
1624;6,03E+13;Patrimonio OK
1633;2,74E+12;Patrimonio OK
1620;2,74E+12;Patrimonio OK
766;1,35E+13;Patrimonio OK
4448;5,16E+13;Patrimonio OK
3302;5,00E+13;Patrimonio OK
4992;7,17E+13;Patrimonio OK
353;3,42E+13;Patrimonio OK
1777;3,83E+13;Patrimonio OK
2338;2,98E+13;Patrimonio OK
3243;4,17E+13;Patrimonio OK
1990;3,12E+13;Patrimonio OK
3117;5,94E+13;Patrimonio OK
3694;1,37E+13;Patrimonio OK
1389;3,46E+13;Patrimonio OK
1832;3,26E+12;Patrimonio OK
741;1,17E+13;Patrimonio OK
2334;3,93E+13;Patrimonio OK
726;1,80E+13;Patrimonio OK
1457;4,37E+13;Patrimonio OK
3119;3,77E+13;Patrimonio OK
1576;2,73E+12;Patrimonio OK
1575;2,15E+12;Patrimonio OK
3631;4,85E+13;Patrimonio OK
699;6,98E+12;Patrimonio OK
3235;4,91E+13;Patrimonio OK
698;6,26E+12;Patrimonio OK
2333;4,02E+12;Patrimonio OK
3121;1,02E+13;Patrimonio OK
