CÓDIGO;CNPJ;STATUS
3107;5,81E+12;Regerar OK
2260;2,52E+13;Regerar OK
2223;1,35E+13;REGERAR ERRO
1364;2,82E+12;Regerar OK
2109;2,80E+13;Regerar OK
3109;2,36E+13;Regerar OK
2247;5,57E+13;REGERAR ERRO
3110;1,11E+13;Regerar OK
1820;2,61E+13;REGERAR ERRO
2282;2,03E+13;Regerar OK
804;1,14E+13;Empresa não encontrada
2104;2,52E+13;Empresa não encontrada
799;2,52E+13;Empresa não encontrada
3443;2,52E+13;Empresa não encontrada
1860;7,79E+12;Regerar OK
2395;1,49E+13;REGERAR ERRO
343;5,72E+13;Regerar OK
2216;5,68E+12;Regerar OK
1831;3,34E+13;REGERAR ERRO
3373;1,21E+13;Regerar OK
1790;1,05E+13;Regerar OK
756;3,17E+13;REGERAR PULADO!
853;9,22773E+12;Regerar OK
1999;8,88485E+12;Regerar OK
3120;3,41941E+13;Regerar OK
1693;4,91119E+12;Regerar OK
692;8,83101E+12;Regerar OK
363;2,12152E+13;Regerar OK
