CÓDIGO;CNPJ;STATUS
1463;11131871000160;Parametro Correto
1626;46124988000100;Parametro Correto
1806;62978283000106;Parametro Correto
1041;04351916000147;Parametro Correto
1402;29355833000157;Parametro Correto
1878;24326629000194;Parametro Correto
1572;03501212000140;Parametro Correto
1019;56309230000191;Parametro Correto
1018;07674290000106;Parametro Correto
2217;11218991000108;Parametro Correto
3445;46678138000145;Parametro Correto
1602;08179912000184;Parametro Correto
2097;10721486000100;Parametro Correto
1403;08401560000160;Parametro Correto
3439;46572808000144;Parametro Correto
2053;16888447000189;Parametro Correto
1640;03469628000129;Parametro Correto
1934;43093890000136;Parametro Correto
1004;04077325000123;Parametro Correto
280;13312262000133;Parametro Correto
1577;05725555000114;Parametro Correto
1612;12424764000193;Parametro Correto
4383;15739294000145;Parametro Correto
1000;09501323000133;Parametro Correto
1589;93310357000238;Parametro Correto
1578;24200756000142;Parametro Correto
959;02816290000171;Parametro Correto
3211;15584017000100;Parametro Correto
2278;36407915000163;Parametro Correto
932;06346636000176;Parametro Correto
926;02533996000126;Parametro Correto
3097;05353705000106;Parametro Correto
924;28336562000120;Parametro Correto
922;03573320000129;Parametro Correto
921;23113180000113;Parametro Correto
2078;01538188000199;Parametro Correto
904;54668454000164;Parametro Correto
3751;14959082000100;Parametro Correto
880;33318291000110;Parametro Correto
1542;20621688000134;Parametro Correto
2412;25159410000100;Parametro Correto
2406;09505792000120;Parametro Correto
1681;27712823000104;Parametro Correto
854;21593292000193;Parametro Correto
3544;36441675000113;Parametro Correto
1748;08756480000127;Parametro Correto
2281;14740950000167;Parametro Correto
2062;11544779000122;Parametro Correto
5028;31515609000127;Parametro Correto
2332;05904165000101;Parametro Correto
2298;36609141000153;Parametro Correto
845;42894796000113;Parametro Correto
2438;10288632000156;Parametro Correto
3524;96620968000190;Parametro Correto
2439;24626465000110;Parametro Correto
324;15012182000198;Parametro Correto
843;42046452000154;Parametro Correto
3144;23491001000181;Parametro Correto
1458;43740797000176;Parametro Correto
1613;08237279000133;Parametro Correto
826;39270952000160;Parametro Correto
1444;43715070000139;Parametro Correto
821;10388787000164;Parametro Correto
1905;18857530000116;Parametro Correto
1583;11059190000139;Parametro Correto
810;01816970000122;Parametro Correto
1582;45822764000109;Parametro Correto
2939;44628340000137;Parametro Correto
3132;29458693000142;Parametro Correto
801;09419407000122;Parametro Correto
1601;15126888000180;Parametro Correto
1553;25038105000160;Parametro Correto
3210;12556584000165;Parametro Correto
1628;07496491000152;Parametro Correto
795;44836963000103;Parametro Correto
789;07780266000143;Parametro Correto
1568;14185140000196;Parametro Correto
787;12076001000107;Parametro Correto
783;39793299000114;Parametro Correto
781;27562302000100;Parametro Correto
3540;17215220000135;Parametro Correto
2208;11461228000103;Parametro Correto
1624;60325248000154;Parametro Correto
1633;02739825000158;Parametro Correto
1620;02739825000239;Parametro Correto
766;13471218000176;Parametro Correto
4448;51642582000140;Parametro Correto
3302;49959377000161;Parametro Correto
4992;71691463000195;Parametro Correto
353;34163459000128;Parametro Correto
1777;38329881000161;Parametro Correto
2338;29753676000138;Parametro Correto
3243;41710438000140;Parametro Correto
1990;31191903000120;Parametro Correto
3117;59447680000139;Parametro Correto
3694;13671915000170;Parametro Correto
1389;34624729000150;Parametro Correto
1832;03262660000139;Parametro Correto
741;11736878000106;Parametro Correto
2334;39288145000175;Parametro Correto
726;18038744000160;Parametro Correto
1457;43749305000103;Parametro Correto
3119;37656316000146;Parametro Correto
1576;02730812000118;Parametro Correto
1575;02152473000130;Parametro Correto
3631;48536839000175;Parametro Correto
699;06978123000188;Parametro Correto
3235;49085324000169;Parametro Correto
698;06261227000177;Parametro Correto
2333;04017755000150;Parametro Correto
3121;10226417000120;Parametro Correto
