CST_ORIGEM;CODIGO_PRODUTO;DESCRICAO;NCM;EX;CEST
2;00001501;PNEU 265/65 R17 XBRI BRUTUS T/A;40119090;;
2;00001503;PNEU 265/70 R16 XBRI BRUTUS T/A;40111000;;
2;00001190;PNEU 195/55 R15 LANVIGATOR;40111000;;
2;00001453;PNEU 245/70 R16 XBRI AT;40111000;;
2;00001362;PNEU 215/45 R17 XBRI;40111000;;
2;00001142;PNEU 215/65 R16 LINGLONG;40111000;;
2;00001497;PNEU 245/70 R16 XBRI BRUTUS T/A;40119090;;
2;00001360;PNEU 235/60 R18 HORIZON;40111000;;
2;00000874;PNEU 31/10.5 R15 HORIZON AT;40119090;;
2;00000775;PNEU 205/65 R15 HORIZON AT;40111000;;
2;00001535;PNEU 205/55 R17 LANVIGATOR;40111000;;
2;00001534;PNEU 215/65 R16 LANVIGATOR;40111000;;
2;00001242;PNEU 195/50 R15 XBRI;40111000;;
2;00000160;PNEU 225/40 R18 WESTLAKE;40111000;;
2;00000876;PNEU 225/35 R20 HORIZON;40111000;;
2;00001349;PNEU 205/60 R16 XBRI;40111000;;
2;00001334;PNEU 205/50 R17 XBRI;40111000;;
2;00001294;PNEU 205/45 R17 XBRI;40111000;;
2;00001255;PNEU 225/50 R17 XBRI;40111000;;
2;00001221;PNEU 205/40 R17 XBRI;40111000;;
2;00000941;PNEU 195/40 R17 LING LONG;40111000;;
2;00000821;PNEU 225/45 R18 HORIZON;40111000;;
2;00001479;PNEU 205/70 R15 XBRI;40111000;;
2;00000967;PNEU 215/50 R17 HORIZON;40111000;;
1;00000824;PNEU 215/60 R17 DUNLOP;40111000;;
1;00000735;PNEU 215/75 R16 FALKEN C;40119090;;
5;00001128;PNEU 265/60 R18 BRIDGESTONE DUELER;40111000;;
1;00001139;PNEU 205/75 R16 TRIANGLE C;40119090;;
5;00001477;PNEU 185/55 R16 GOODYEAR EAGLE SPORT;40111000;;
2;00000889;PNEU 185/55 R16 HIFLY;40111000;;
5;00000720;PNEU 195 R14 FALKEN;40119090;;
2;00000793;PNEU 235/55 R17 HORIZON;40111000;;
2;00001432;PNEU 225/60 R17 XBRI;40111000;;
5;00000731;PNEU 185 R14 FALKEN;40119090;;
2;00000881;PNEU 235/75 R15 HORIZON AT;40119090;;
2;00000878;PNEU 235/70 R16 HORIZON;40111000;;
5;00001507;PNEU 175/70 R14 KELLY;40111000;;
2;00000454;PNEU 195/65 R15 LINGLONG;40111000;;
2;00001554;PNEU 195/60 R15 APTANY;40111000;;
2;00001551;PNEU 185/55 R16 LINGLONG;40111000;;
2;00001348;PNEU 195/60 R16 XBRI;40111000;;
2;00001538;PNEU 225/55 R18 LANVIGATOR;40111000;;
2;00001504;PNEU 265/75 R16 XBRI BRUTUS T/A;40119090;;
5;00000745;PNEU 185/70 R13 DUNLOP;40111000;;
0;00001047;PNEU 590 R14 MAGGION;40111000;;
1;00001137;PNEU 205/70 R15 TRIANGLE C;40119090;;
2;00001140;PNEU 225/65 R16 TRIANGLE C;40119090;;
2;00001346;PNEU 235/45 R18 XBRI;40111000;;
2;00001215;PNEU 225/40 R18 XBRI;40111000;;
2;00000898;PNEU 195/50 R15 HORIZON;40111000;;
2;00001424;PNEU 235/70 R16 XBRI AT;40111000;;
2;00001439;PNEU 265/70 R16 XBRI AT;40111000;;
2;00001463;PNEU 225/45 R18 LANVIGATOR;40111000;;
0;00000717;PNEU 225/45 R18 DUNLOP;40111000;;
2;00001220;PNEU 215/60 R17 XBRI;40111000;;
2;00000780;PNEU 265/70 R16 HORIZON;40111000;;
2;00001201;PNEU 185/60 R15 LINGLONG;40111000;;
2;00001560;PNEU 185/65 R15 APTANY;40111000;;
2;00001559;PNEU 175/60 R14 HIFLY;40111000;;
2;00000744;PNEU 205/70 R15 LINGLONG AT;40111000;;
2;00001478;PNEU 185/55 R15 XBRI;40111000;;
2;00001194;PNEU 185/65 R15 LANVIGATOR;40111000;;
2;00001193;PNEU 205/60 R15 LANVIGATOR;40111000;;
2;00001195;PNEU 195/65 R15 LANVIGATOR;40111000;;
2;00001347;PNEU 185/55 R16 XBRI;40111000;;
2;00001256;PNEU 205/55 R16 XBRI;40111000;;
2;00001051;PNEU 195/65 R15 TRIANGLE;40111000;;
2;00000884;PNEU 195/55 R16 HORIZON;40111000;;
5;00001254;PNEU 205/55 R16 KELLY;40111000;;
2;00001214;PNEU 215/55 R17 XBRI;40111000;;
2;00001523;PNEU 215/50 R17 LANVIGATOR;40111000;;
2;00001219;PNEU 235/60 R18 XBRI;40111000;;
2;00000766;PNEU 225/50 R17 HORIZON;40111000;;
2;00000785;PNEU 235/55 R18 HORIZON;40111000;;
2;00000925;PNEU 205/60 R16 LINGLONG;40111000;;
2;00001544;PNEU 175/70 R14 TRIANGLE C;40119090;;
2;00001518;PNEU 195/50 R16 LANVIGATOR;40111000;;
2;00001522;PNEU 205/50 R17 LANVIGATOR;40111000;;
2;00001553;PNEU 205/65 R16 LINGLONG;40111000;;
2;00001552;PNEU 195/60 R16 LINGLONG;40111000;;
2;00001191;PNEU 185/60 R15 LANVIGATOR;40111000;;
2;00001197;PNEU 205/55 R16 LANVIGATOR;40111000;;
2;00001133;PNEU 165/70 R13 SAILUN;40111000;;
2;00001290;PNEU 175/70 R13 TORNEL;40111000;;
2;00001549;PNEU 225/55 R18 APTANY;40111000;;
2;00001550;PNEU 185/60 R15 APTANY;40111000;;
2;00001490;PNEU 245/70 R16 XBRI;40111000;;
