CST_ORIGEM;CODIGO_PRODUTO;DESCRICAO;NCM;EX;CEST
0;PL-T1F-312;PLACA T1F- 2000X1000X25MM;39259010;;
0;PL-TRF-10;PLACA TRF 2000X1000X600MM;39259010;;
0;TL-T1F-TR25-09;TELHA T1F TR25 FORRO 1000X1025X30MM;39259010;;
0;TL-T1F-TR25-11;TELHA T1F TR25 FORRO 1000X1025X40MM;39259010;;
0;TL-T1F-TR25-12;TELHA T1F TR25 FORRO 1000X1025X50MM;39259010;;
0;TL-T1F-TR25-14;TELHA T1F TR25 1000X1025X30MM;39259010;;
0;TL-T1F-TR25-19;TELHA T1F TR25 1000X1025X50MM;39259010;;
0;T1F-TR40-01-32;TELHA T1F TR40 1000X1020X30MM;39259010;;
0;TL-T1F-TR40-05;TELHA T1F TR40 1000X1020X50MM;39259010;;
0;TL-T1F-TR40-08;TELHA T1F TR40 FORRO 1000X980X50MM;39259010;;
0;TL-T1F-TR40-04;TELHA T1F TR40 1000X980X30MM;39259010;;
0;TL-T1F-TR40-09;TELHA T1F TR40 FORRO 1000X980X30MM;39259010;;
0;TL-T1F-TR40-02;TELHA T1F TR40 1000X1020X40MM;39259010;;
0;TL-T1F-TR40-34;TELHA T1F TR40 FORRO 1000X980X40MM;39259010;;
0;TLFTR40102550;TELHA EPS T1F FORRO TR25 1000 X 1025 X 50 MM;39259010;;
0;TL-T1F-TR17-02;TELHA T1F TR17 ONDULADA 1000X980X30MM;39259010;;
0;TL-T1F-TR25-20;TELHA T1F TR25 1000X1025X40MM;39259010;;
8;SUCATA;SUCATA EM EPS;39205900;;
0;TLTR4098030;TELHA EPS T1F TR40 1000 X 980 X 30 MM;39259010;;
0;TLTR40102030;TELHA EPS T1F TR40 1000 X 1020 X 30 MM;39259010;;
0;-T1F-TR100-01.;TELHA T1F TR100 1000X952X30MM;39259010;;
0;TL-T1F-TR17-05;TELHA T1F TR17 ONDULADA 1000X980X50MM;39259010;;
0;TLTR40102040;TELHA EPS T1F TR40 1000 X 1020 X 40 MM;39259010;;
0;PL-T1F-871;PLACA EPS T1F 1000 X 500 X 20MM - SACO COM 8 PLACAS;39259010;;
0;PL-T1F-872;PLACA EPS T1F 1000 X 500 X 30MM - SACO COM 6 PLACAS;39259010;;
0;PL-T1F-873;PLACA EPS T1F 1000 X 500 X 30MM - SACO COM 7 PLACAS;39259010;;
0;PL-T2F-376;PLACA T2F 1000X1000X625MM;39259010;;
0;PL-T1F-874;PLACA EPS T1F 1000 X 500 X 20MM - CAIXA COM 12 PLACAS;39259010;;
0;PL-T1F-876;PLACA EPS T1F 1000 X 500 X 10MM - CAIXA COM 25 PLACAS;39259010;;
0;F-25 - (86171);PLACA T1F 1000 X 500 X 30MM - PACOTE COM 08 UNIDADES;39259010;;
0;TLTR25102530;TELHA EPS T1F TR25 1000 X 1025 X 30 MM;39259010;;
0;PL-T1F-1087;PLACA EPS T1F 1000 X 965 X 30MM;39259010;;
0;TLFTR4098030;TELHA EPS T1F FORRO TR40 1000 X 980 X 30 MM;39259010;;
0;PTC-CS.13X51;CALCO T1F 510X385X13MM - CS.13X51;39203000;;
0;PTC-CS.PXLBP;CS.PXLBP (15);39203000;;
0;PTC-CS.13X32;CALCO T1F 320X260X13MM - CS.13X32;39203000;;
0;F-13 - (86170);PLACA T1F 1000 X 500 X 25MM - PACOTE COM 10 UNIDADES;39259010;;
0;F-7955 (86161);PLACA T1F 1000 X 500 X 10MM - PACOTE COM 25 UNIDADES;39259010;;
0;T1F-16 (86169);PLACA T1F 1000X500X20MM;39259010;;
0;T1F-28 (86175);PLACA T1F 1000X500X50MM;39259010;;
0;T1F-40 (86177);PLACA EPS T1F 1000 X 500 X 100MM - PACOTE COM 02 UNIDADES;39259010;;
0;T1F-41 (86174);PLACA T1F 1000 X 500 X 40MM - PACOTE COM 06 UNIDADES;39259010;;
0;T1F-59 (86168);PLACA T1F 1000 X 500 X 15MM - PACOTE COM 16 UNIDADES;39259010;;
0;PRC-2525;CABECEIRA TRN NOVA;39259010;;
0;PTC-4479;TRAVA TRN;39259010;;
0;PTC-10693;CALCO EPS FTBS 6F;39259010;;
0;PTC-10978;CALCO EPS TDS 1 AO 7;39259010;;
0;PTC-11526;COLUNA TRS 0,4500X0,0750X0,0450 - 11526;39259010;;
0;PTC-11527;COLUNA TRS 0,4500X0,1250X0,0450 - 11527;39259010;;
0;C- TRS - 11528;CABECEIRA TRS 33X38,1- 11528;39259010;;
0;PTC-4480;COLUNA TRN;39259010;;
0;PTC-4481;COLUNA TRN ESP;39259010;;
0;TC-T4F - 11524;TRAVA TRS 0,4860X0,0900X0,0450 - 11524;39259010;;
0;PL-T1F-24399;CALCO T1F 80X85X43MM (15);39203000;;
0;C-T3F-15997805;PRC - 15997805- 280X250X120MM;39203000;;
0;C-T3F-15997967;PRC - 15997967 - 283X243X160MM;39203000;;
0;C-T3F-15997977;PTC- T3F -15997977- 283X243X16MM;39203000;;
0;C-T3F-15997982;PTC- T3F -15997982- 45X250X270MM;39203000;;
0;C-T3F-15997807;PRC - 15997807 - 280X250X160MM;39203000;;
0;C-T3F-15997964;PRC - 15997964 - 283X243X96MM;39203000;;
0;C-T3F-15997986;PRC - 15997986 - 445X334X160MM;39203000;;
0;C-T3F-15997994;PTC- T3F -15997994 - 240X155X80MM;39203000;;
0;C-T3F-15997997;PTC- T3F -15997997 -240X155X35MM;39203000;;
0;C-T3F-15997993;PRC - 15997993 - 240X155X55MM;39203000;;
0;SUCATA;SUCATA EM EPS;39205900;;
0;-T1F-100-PCT06;PLACA T1F 1000 X 500 X 100MM - PACOTE COM 06 UNIDADES;39259010;;
0;PTC-T1F-MP102;PTC-T1F - 370X205X16MM - CAIXA 40LTS 4PL - MP102;39203000;;
0;PTC-T1F-MP103;PTC T1F - 370X240X16MM - CAIXA 40LTS 2PL - MP103;39203000;;
0;PTC-T1F-MP104;PTC-T1F - 405X265X16MM - CAIXA 40LTS 1PL - MP104;39203000;;
0;TLTR25102030;TELHA EPS T1F TR25 1000 X 1020 X 30 MM;39259010;;
0;PL-T1F-877;PLACA EPS T1F 1000 X 500 X 30MM - CAIXA COM 8 PLACAS;39259010;;
0;T66442428;CALCO EPS T6F 596 X 100 X 106,5MM;39203000;;
0;T66443946;CALCO EPS T6F 577 X 100 X 50MM;39203000;;
0;T66443116;CALCO EPS T6F 645 X 100 X 60MM;39203000;;
0;PL-TRF-03;PLACA TRF 1000X500X50MM;39259010;;
0;TLFTR25102030;TELHA EPS T1F FORRO TR25 1000 X 1020 X 30 MM;39259010;;
0;TLFTR40102030;TELHA EPS T1F FORRO TR40 1000 X 1020 X 30 MM;39259010;;
0;TLTR40102050;TELHA EPS T1F TR40 1000 X 1020 X 50 MM;39259010;;
0;TLFTR25102050;TELHA EPS T1F FORRO TR25 1000 X 1020 X 50 MM;39259010;;
0;TLTR4098050;TELHA EPS T1F TR40 1000 X 980 X 50 MM;39259010;;
0;PTC-T1F-54;CALCO T1F EPS - ISOPOR 320X90X70MM;39259010;;
0;LJTRF330H7;LAJOTA EPS TRF 1000 X 330 X 70 MM;39259010;;
0;PL-T1F-3716;PLACA T1F 375X160X10MM;39259010;;
0;PL-T1F-5416;PLACA T1F 540X160X10MM;39259010;;
0;PL-T1F-5537;PLACA T1F 555X375X10MM;39259010;;
0;PL-T1F-5739;PLACA T1F 570X390X10MM;39259010;;
0;PL-T1F-117;PLACA T1F 2000X1000X10MM;39259010;;
0;-T1F-3008-3.25;PLACA T1F 2000X1000X22MM;39259010;;
0;TLFTR40102050;TELHA EPS T1F FORRO TR40 1000 X 1020 X 50 MM;39259010;;
0;101701;PTC EPS T1F 355 X 202 X 17MM - LATERAL MENOR D;39203000;;
0;101721;PTC EPS T1F 355 X 202 X 17MM - LATERAL MENOR RODA C;39203000;;
0;101722;PTC EPS T1F 442 X 228 X 15MM - FUNDO E;39203000;;
0;101723;PTC EPS T1F 456 X 355 X 20MM - LATERAL MAIOR F;39203000;;
0;101724;PTC EPS T1F 185 X 248 X 22,5MM - TAMPA MAIOR B;39203000;;
0;101725;PTC EPS T1F 78 X 45 X 22,5MM - TAMPA MENOR A;39203000;;
3;CL-T1F-12;CILINDRO T1F 550X550X10MM;39259010;;
0;PL-T3M - 1002;PLACA T3M 4000X1220X400MM;39259010;;
0;PL-T4M - 1002;PLACA T4M 4000X1220X400MM;39259010;;
0;LJTRF330H10;LAJOTA EPS TRF 1000 X 330 X 100 MM;39259010;;
0;PECAMOLDADA001;PECA MOLDADA EPS (REF.501-01666-02);39031120;;
0;PL-T1F-557;PLACA T1F 1200X1000X500MM;39259010;;
0;BLOCOT4F;BLOCO EPS T4F 4020 X 1220 X 1020 MM;39031120;;
0;MEIOBLOCOT4F;MEIO BLOCO EPS T4F 2010 X 1220 X 1020 MM;39031120;;
0;BLOCOT4M;BLOCO EPS T4M 4020 X 1220 X 1020 MM;39031120;;
