CST_ORIGEM;CODIGO_PRODUTO;DESCRICAO;NCM;EX;CEST
0;504091;PAO BRANCO TRADICAO (09X400GR) - BIMBO;19059010;;
0;504095;BISNAGA TRADICAO (08X280GR) - BIMBO;19059090;;
0;7515;PAO ARTESANO PULLMAN (10X500GR) - BIMBO;19059010;;
0;9101;PAO PULLMAN ORIGINAL (12X480GR) - BIMBO;19059010;;
0;20108;PAO NUTRELLA 14 GRAOS (13X450GR) - BIMBO;19059010;;
0;21859;RAP10 INTEGRAL 297GR - BIMBO;19059090;;
0;29766;BISNAGUINHA CENOURA C MANDIOQUINHA NUTRELLA(12X300GR)-BIMBO;19059090;;
0;502829;BISNAGUINHA BRANCA PULLMAN (08X280GR) - BIMBO;19059090;;
0;503128;PAO NUTRELLA ABOBORA E LINHACA (13X350GR) - BIMBO;19059010;;
0;503129;PAO NUTRELLA CRAMBERRY (13X350GR) - BIMBO;19059010;;
0;503130;PAO NUTRELLA CASTANHA-DO-PARA & QUINOA (13X350GR) - BIMBO;19059090;;
0;504437;BISNAGA ARTESANO  NA CHAPA PULLMAN 300GR - BIMBO;19059090;;
0;3883;ANA MARIA 70GR TRAD CHOCOLATE (60X70GR) - BIMBO;19052090;;
0;504092;PAO INTEGRAL TRADICAO LV 400G TRA;19059010;;
0;PA2114;PAO TRAD. LISO PITA BREAD - (48UN X 80GR);19059090;;
0;PA2113;PAO TRAD. C/ GERGELIM PITA BREAD - (48UN X 80GR);19059090;;
0;PA2130;PAO BRIOCHE PITA BREAD - (48UN X 80GR);19059090;;
0;1004;PAES DIVERSOS PCTO 04 UN;19059090;;
0;20522631;MAIONESE GRILL JUNIOR - (05 X 1,100GR);21039011;;
0;304301340;PANKO ZAFRAN - (6X1,01KG);19019090;;
0;88207;MOLHO DE TOMATE PASSATA HEMMER - PT CX 12 0,680 KG;20029000;;
0;1.16.001;PEPINO INTEIRO ZILSE - PT CX 15 0,300 KG;20011000;;
0;1.16.017;PEPINOS RODELAS BURGUER ZILSE - PT CX15 0,300KG;20011000;;
0;10001313;MOSTARDA AMARELA BIG TRAD. CEPERA (4X3,3KG);21033029;;
0;80;BACON DA PAPADA FATIADO MISTER BEEF - (18UN X 1KG);02101200;;
0;PAO-PH28;PAO BRIOCHE GOURMET ART BREAD - (36UN X 55GR);19059090;;
0;11118;BATATA , MCCAIN, SURECRISP 7mm (5X2,5kg) CAIXA 12,5 kg;20041000;;
0;88219;KETCHUP TRADICIONAL HEMMER - BB CX 04 3,800 KG;21032090;;
0;20524108;MOLHO HONEY MUSTARD JUNIOR - (5 X 1,100GR);21039099;;
0;17940;ÓLEO ALGODÃO ELOGIATA (4 x 5,1LITRO);15122910;;
0;005848;CEBOLA FRITA TOP TASTE -  CX 5.000 KG - (10X500GR);19059090;;
0;079005;BACON FATIADO SULITA - (14UNX1KG);02101200;;
0;10100016;QUEIJO MUSSARELA POLENGHI FATIADO - CAIXA C 2,73 KG;04061010;;
0;10100010;QUEIJO CHEDDAR POLENGHI FATIADO - CAIXA COM 2,27 KG;04061090;;
0;PAO-PH33;PAO DE HAMBURGUER BRIOCHE-CORTE TOTAL-75G-6UN-PESO LIQ. 2,700KG;19059090;;
0;000947;MOLHO ORIGINAL BILLY JACK - KISABOR (6X1,01KG);21039099;;
0;086;BACON FATIADO PALETA QUALIVIP - (20UN X 1KG);02101200;;
0;773243;MOLHO CREMOSO CHEDDAR VIGOR (4X1,5KG);04061090;;
0;20522567;MAIONESE TEMPERADA JUNIOR - (05 X 1,100GR);21039019;;
0;304150753;MOLHO CEBOLA CARAMELIZADA ZAFRAN - (5X1,05KG);21039091;;
0;304150756;MOLHO CHIPOTLE ZAFRAN - (5X1,05KG);21039091;;
0;304150761;THAI SWEET CHILI SAUCE ZAFRAN - (5X1,05KG);21039091;;
0;304150811;MOLHO AMERICANO ZAFRAN - (5X1,05KG);21039099;;
0;10001306;KETCHUP BIG TRAD. CEPERA (4X3,5KG);21032090;;
0;087;BACON CUBOS QUALIVIP - (10UN X 2KG);02101200;;
0;88279;MAIONESE SACHET HEMMER - CX CX 190 0,007 KG;21039011;;
0;20750398;JUNIOR KETCHUP 7GX168/KETCHUP;21032010;;
0;10001305;KETCHUP BIG TRAD. CEPERA (3X5,5KG);21032090;;
0;10001351;KETCHUP CEPERA SC 154x7g;21032010;;
0;41;REQUEIJAO CULINARIO CREMOSO BANDEIRA - (09 X 1,5KG);04061090;;
0;775153;QUEIJO CHEDDAR VIGOR FATIADO - (4 X 2,24KG);04061090;;
0;PA00611;SACO SOS PLUMA P PARDO c/ 400 (8x50) (17x10x24cm);48194000;;
0;554;QUEIJO CHEDDAR FATIADO SCAR - (24UNX500GR);04061090;;
0;2877;BOLO GOTAS CHOC PULLMAN (26UN X 250GR) - BIMBO;19052090;;
0;8025;BOLO CHOC PULLMAN (26UN X 250GR) - BIMBO;19052090;;
0;39764;ANA MARIA 35GR GOTAS DE CHOCOLATE (16X35GR) - BIMBO;19052090;;
0;39767;ANA MARIA 35GR CHOCOLATE (16X35GR) - BIMBO;19052090;;
0;502826;PAO BRANCO PULLMAN (09X400GR) - BIMBO;19052090;;
0;PA2127;PAO AUSTRALIANO PITA BREAD - (48UN X 80GR);19059090;;
0;8904;BOLO LARANJA PULLMAN (26UN X 250GR) - BIMBO;19052090;;
0;502827;PAO INTEGRAL 400G LV PUL;19059010;;
0;304150755;MAIONESE GRILL ZAFRAN - (5X1,05KG);21039091;;
0;550;QUEIJO AMERICAN CHEESE FAT SCAR - (24UNX500GR);04061090;;
0;PL00078;PRA LANCHE PLUMA 36x45 IMPR. c/ PELICULA - KBF25gm2  c/500;48115930;;
0;PL00045;PAPEL LAMINADO PLUMA COM ALUMINIO LANCHE 38x38 c/ 250;76071190;;
