CÓDIGO;CNPJ
5281;10250304000160;Apuração com Sucesso
5288;45707504000184;Apuração com Sucesso
5292;53566194000153;Apuração com Sucesso
5316;53709864000143;Apuração com Sucesso
5519;54188612000189;Apuração com Sucesso
5588;54247502000140;Apuração com Sucesso
5689;29859602000180;Apuração com Sucesso
5692;54348844000157;Apuração com Sucesso
5716;54490808000123;Apuração com Sucesso
5768;54538321000173;Apuração com Sucesso
5951;54660728000179;Apuração com Sucesso
6231;54902020000187;Apuração com Sucesso
6325;55064175000154;Apuração com Sucesso
6427;09209780000159;;Empresa não encontrada
6467;55209194000121;Apuração com Sucesso
6483;55210240000102;Apuração com Sucesso
6499;55228203000121;Apuração com Sucesso
