DCTF_2.RFB;Arquivo original
DCTF_47.RFB;Arquivo original
DCTF_134.RFB;Arquivo original
DCTF_155.RFB;Arquivo original
DCTF_369.RFB;Arquivo original
DCTF_426.RFB;Arquivo original
DCTF_448.RFB;Arquivo original
DCTF_1138.RFB;Arquivo original
DCTF_1387.RFB;Arquivo original
DCTF_1449.RFB;Arquivo original
DCTF_1495.RFB;Arquivo original
DCTF_1547.RFB;Arquivo original
DCTF_1856.RFB;Arquivo original
DCTF_1860.RFB;Arquivo original
DCTF_1979.RFB;Arquivo original
DCTF_1985.RFB;Arquivo original
DCTF_3566.RFB;Arquivo original
DCTF_4817.RFB;Arquivo original
DCTF_5226.RFB;Arquivo original
DCTF_6978.RFB;Arquivo original
