COD;CNPJ;NOME;STATUS
224;Flag Desmarcada;;
226;Flag Desmarcada;;
227;Flag Desmarcada;;
228;Flag Desmarcada;;
229;Flag Desmarcada;;
230;Flag Desmarcada;;
231;Flag Desmarcada;;
232;Flag Desmarcada;;
233;Flag Desmarcada;;
234;Flag Desmarcada;;
235;Flag Desmarcada;;
236;Flag Desmarcada;;
237;Flag Desmarcada;;
238;Flag Desmarcada;;
239;Flag Desmarcada;;
240;Flag Desmarcada;;
241;Flag Desmarcada;;
242;Flag Desmarcada;;
243;Flag Desmarcada;;
244;Flag Desmarcada;;
245;Flag Desmarcada;;
246;Flag Desmarcada;;
247;Flag Desmarcada;;
248;Flag Desmarcada;;
249;Flag Desmarcada;;
250;Flag Desmarcada;;
251;Flag Desmarcada;;
252;Flag Desmarcada;;
253;Flag Desmarcada;;
254;Flag Desmarcada;;
255;Flag Desmarcada;;
256;Flag Desmarcada;;
257;Flag Desmarcada;;
258;Flag Desmarcada;;
259;Flag Desmarcada;;
260;Flag Desmarcada;;
261;Flag Desmarcada;;
262;Flag Desmarcada;;
263;Flag Desmarcada;;
264;Flag Desmarcada;;
265;Flag Desmarcada;;
266;Flag Desmarcada;;
267;Flag Desmarcada;;
268;Flag Desmarcada;;
269;Flag Desmarcada;;
270;Flag Desmarcada;;
271;Flag Desmarcada;;
272;Flag Desmarcada;;
273;Flag Desmarcada;;
274;Flag Desmarcada;;
275;Flag Desmarcada;;
