CÓDIGO;CNPJ;STATUS
1500;4,38572E+13;Patrimonio OK
1278;3,39367E+13;Patrimonio OK
1289;4,46366E+13;Erro Imune - Associação - Cliente
1340;3,2264E+13;Patrimonio OK
1826;2,35986E+13;Patrimonio OK
1946;1,18194E+13;Patrimonio OK
1814;9,53716E+12;Patrimonio OK
2053;1,68884E+13;Patrimonio OK
2016;2,43103E+13;Patrimonio OK
1693;4,91119E+12;Patrimonio OK
1207;2,90175E+12;Patrimonio OK
3480;2,9502E+13;Patrimonio OK
347;1,38285E+12;Patrimonio OK
1986;3,21162E+13;Patrimonio OK
#N/D;4,55284E+13;Empresa não encontrada
1557;1,84959E+12;Patrimonio OK
3530;5,04563E+13;Patrimonio OK
2268;5,61499E+12;Patrimonio OK
2223;1,35358E+13;Patrimonio OK
2282;2,03029E+13;Patrimonio OK
1197;5,35952E+12;Patrimonio OK
3299;5,35952E+12;Patrimonio OK
120;5,81815E+13;Patrimonio OK
1226;5,81815E+13;Patrimonio OK
3128;5,09806E+13;Patrimonio OK
316;2,82038E+13;Erro Imune - Associação - Cliente
#N/D;7,17537E+13;Empresa não encontrada
2292;2,92348E+13;Patrimonio OK
2093;1,96941E+13;Patrimonio OK
1732;5,66028E+12;Patrimonio OK
1975;1,37703E+12;Patrimonio OK
2079;7,07558E+12;Patrimonio OK
3110;1,10662E+13;Patrimonio OK
1194;1,90026E+13;Patrimonio OK
1310;8,25214E+12;Patrimonio OK
1545;9,30382E+12;Patrimonio OK
#N/D;2,89466E+13;Empresa não encontrada
1855;2,33453E+12;Patrimonio OK
#N/D;2,90391E+13;Empresa não encontrada
2315;5,3748E+13;Patrimonio OK
3354;3,61747E+13;Patrimonio OK
3107;5,80561E+12;Patrimonio OK
1172;2,38076E+13;Patrimonio OK
1297;5,83905E+13;Patrimonio OK
1309;1,03892E+13;Patrimonio OK
1543;2,21616E+11;Patrimonio OK
1815;7,57484E+12;Patrimonio OK
#N/D;6,84515E+13;Empresa não encontrada
#N/D;3,57823E+13;Empresa não encontrada
2034;4,13627E+12;Patrimonio OK
1080;5,90107E+13;Patrimonio OK
1076;2,12418E+13;Patrimonio OK
2367;1,92099E+13;Patrimonio OK
3086;5,47386E+13;Patrimonio OK
3353;2,17754E+13;Patrimonio OK
1225;5,31618E+12;Patrimonio OK
3186;2,97584E+12;Patrimonio OK
1528;2,96013E+12;Erro Imune - Associação - Cliente
2071;1,4764E+13;Patrimonio OK
3531;4,39211E+13;Patrimonio OK
1167;7,61348E+12;Patrimonio OK
2152;3,83343E+12;Patrimonio OK
3198;5,08881E+13;Patrimonio OK
3199;1,72085E+13;Patrimonio OK
1846;2,38436E+13;Patrimonio OK
#N/D;5,09329E+13;Empresa não encontrada
1262;1,89967E+13;Patrimonio OK
1736;9,399E+12;Patrimonio OK
980;2,52752E+13;Patrimonio OK
1691;7,04369E+12;Patrimonio OK
2947;1,35769E+13;Patrimonio OK
