CÓDIGO;CNPJ;STATUS
1370;43540963000190;Parametro Correto
1206;28295765000115;Parametro Correto
1766;18416550000151;Parametro Correto
1954;20026029000150;Parametro Correto
1210;35919675000113;Parametro Correto
2971;09582812000167;Parametro Correto
1213;02632056000194;Parametro Correto
97;08944665000165;Parametro Correto
1215;29753585000100;Parametro Correto
1221;27406747000109;Parametro Correto
109;29886718000109;Parametro Correto
111;29957669000158;Parametro Correto
1236;02824098000208;Parametro Correto
1237;02824098000399;Parametro Correto
1241;09371245000108;Parametro Correto
1755;40342725000182;Parametro Correto
1248;15741674000114;Parametro Correto
215;00743745000140;Parametro Correto
1265;26096213000152;Parametro Correto
1266;26096213000233;Parametro Correto
1272;10465450000103;Parametro Correto
2978;09377019000126;Parametro Correto
1284;17160690000149;Parametro Correto
295;05572047000143;Parametro Correto
1287;10510269000171;Parametro Correto
1228;05634377000116;Parametro Correto
1308;03844562000100;Parametro Correto
3653;48738619000124;Parametro Correto
2983;71973176000178;Parametro Correto
374;21436641000163;Parametro Correto
1326;36059884000105;Parametro Correto
1334;08090632000103;Parametro Correto
1585;07584276000103;Parametro Correto
386;01036242000106;Parametro Correto
#N/D;03135585000145;Empresa não encontrada
2505;10532145000197;Parametro Correto
1739;11265221000108;Parametro Correto
2000;18876056000170;Parametro Correto
#N/D;31632774000169;Empresa não encontrada
1597;4,7631E+13;Parametro Correto
1230;4,60987E+12;Parametro Correto
2559;5,1421E+13;Parametro Correto
3399;3,78268E+13;Parametro Correto
410;6,21389E+12;Parametro Correto
417;7,23009E+12;Parametro Correto
#N/D;7,16059E+13;Empresa não encontrada
426;1,73572E+13;Parametro Correto
433;5,77703E+12;Parametro Correto
437;1,07812E+13;Parametro Correto
1487;4,46369E+13;Parametro Correto
448;1,35236E+13;Parametro Correto
4214;4,54588E+13;Parametro Correto
2507;1,14581E+13;Parametro Correto
2228;1,37713E+13;Parametro Correto
1384;5,78435E+13;Parametro Correto
478;1,89604E+12;Parametro Correto
482;4,49479E+13;Parametro Correto
3000;6,74189E+13;Parametro Correto
2299;2,91614E+13;Parametro Correto
1449;1,93184E+13;Parametro Correto
3001;8,11577E+11;Parametro Correto
2387;3,12271E+13;Parametro Correto
1630;6,30226E+13;Parametro Correto
3004;5,70598E+13;Parametro Correto
#N/D;9,5061E+12;Empresa não encontrada
530;5,32428E+13;Parametro Correto
2188;2,83535E+13;Parametro Correto
536;4,28178E+12;Parametro Correto
537;9,25889E+12;Parametro Correto
538;2,7184E+12;Parametro Correto
542;1,16902E+12;Parametro Correto
#N/D;3,22055E+13;Empresa não encontrada
4991;7,6351E+12;Parametro Correto
1994;6,91351E+11;Parametro Correto
4815;3,23966E+12;Parametro Correto
583;1,14634E+13;Parametro Correto
1495;5,35005E+13;Parametro Correto
1614;6,53658E+12;Parametro Correto
#N/D;2,14239E+13;Empresa não encontrada
1485;9,33791E+13;Parametro Correto
1824;2,02675E+12;Parametro Correto
1608;2,53114E+11;Parametro Correto
#N/D;2,49829E+13;Empresa não encontrada
1546;5,27559E+13;Parametro Correto
612;1,32381E+13;Parametro Correto
#N/D;6,68328E+11;Empresa não encontrada
#N/D;1,37612E+13;Empresa não encontrada
#N/D;2,03965E+13;Empresa não encontrada
#N/D;8,38947E+12;Empresa não encontrada
#N/D;2,80472E+13;Empresa não encontrada
#N/D;2,73553E+13;Empresa não encontrada
3029;8,96813E+12;Parametro Correto
#N/D;2,42549E+13;Empresa não encontrada
2189;3,06596E+13;Parametro Correto
665;3,65345E+12;Parametro Correto
667;2,25693E+13;Parametro Correto
3035;2,44682E+12;Parametro Correto
1547;6,73726E+13;Parametro Correto
675;1,09213E+13;Parametro Correto
4142;2,90293E+13;Parametro Correto
1551;4,82012E+13;Parametro Correto
2561;1,16388E+13;Parametro Correto
1618;5,00479E+13;Parametro Correto
683;3,7751E+13;Parametro Correto
3041;6,03076E+13;Parametro Correto
#N/D;3,51833E+13;Empresa não encontrada
5038;3,21765E+13;Parametro Correto
687;4,59851E+13;Parametro Correto
1592;3,83759E+12;Parametro Correto
2353;1,94045E+13;Parametro Correto
2076;1,21972E+13;Parametro Correto
1251;2,25015E+13;Parametro Correto
2354;3,96699E+13;Parametro Correto
725;6,23851E+13;Parametro Correto
732;2,24176E+13;Parametro Correto
3286;4,98394E+13;Parametro Correto
1522;1,92118E+12;Parametro Correto
803;1,73426E+13;Parametro Correto
806;7,97283E+12;Parametro Correto
824;1,54559E+13;Parametro Correto
825;9,48977E+12;Parametro Correto
2233;1,9965E+13;Parametro Correto
883;1,11684E+13;Parametro Correto
3049;1,02303E+13;Parametro Correto
3051;1,2793E+13;Parametro Correto
#N/D;4,56817E+12;Empresa não encontrada
1997;1,47667E+13;Parametro Correto
2116;1,66295E+13;Parametro Correto
#N/D;3,66093E+13;Empresa não encontrada
#N/D;2,04046E+13;Empresa não encontrada
983;7,09385E+11;Parametro Correto
1555;2,04256E+13;Parametro Correto
1631;5,76971E+13;Parametro Correto
3597;4,82843E+13;Parametro Correto
3071;7,16239E+13;Parametro Correto
1556;5,13001E+13;Parametro Correto
2444;1,03945E+12;Parametro Correto
3482;1,42164E+13;Parametro Correto
1560;1,28359E+13;Parametro Correto
2161;3,32268E+13;Parametro Correto
2557;3,31658E+12;Parametro Correto
1161;9,61734E+13;Parametro Correto
1759;2,62143E+12;Parametro Correto
1116;1,21169E+13;Parametro Correto
1443;1,82176E+13;Parametro Correto
1606;5,95753E+13;Parametro Correto
1571;1,08027E+13;Parametro Correto
1103;4,25115E+13;Parametro Correto
1096;1,84968E+13;Parametro Correto
3642;4,87424E+13;Parametro Correto
1093;1,44123E+13;Parametro Correto
1092;6,05927E+11;Parametro Correto
875;8,17271E+12;Parametro Correto
1075;9,09418E+12;Parametro Correto
3073;2,29583E+13;Parametro Correto
2347;2,15166E+13;Parametro Correto
1586;1,23745E+13;Parametro Correto
1617;7,10492E+12;Parametro Correto
1588;6,66373E+13;Parametro Correto
2140;2,26597E+13;Parametro Correto
2226;2,09026E+13;Parametro Correto
1048;1,2596E+13;Parametro Correto
3217;7,38068E+12;Parametro Correto
1463;1,11319E+13;Parametro Correto
1626;4,6125E+13;Parametro Correto
1806;6,29783E+13;Parametro Correto
1041;4,35192E+12;Parametro Correto
1402;2,93558E+13;Parametro Correto
1025;2,37266E+13;Parametro Correto
1572;3,50121E+12;Parametro Correto
1019;5,63092E+13;Parametro Correto
2030;2,1614E+13;Parametro Correto
2217;1,1219E+13;Parametro Correto
3445;4,66781E+13;Parametro Correto
1602;8,17991E+12;Parametro Correto
2097;1,07215E+13;Parametro Correto
1403;8,40156E+12;Parametro Correto
3439;4,65728E+13;Parametro Correto
1640;3,46963E+12;Parametro Correto
1934;4,30939E+13;Parametro Correto
1004;4,07733E+12;Parametro Correto
#N/D;1,33123E+13;Empresa não encontrada
1577;5,72556E+12;Parametro Correto
1612;1,24248E+13;Parametro Correto
1000;9,50132E+12;Parametro Correto
973;4,92837E+12;Parametro Correto
1589;9,33104E+13;Parametro Correto
1578;2,42008E+13;Parametro Correto
959;2,81629E+12;Parametro Correto
3211;1,5584E+13;Parametro Correto
2278;3,64079E+13;Parametro Correto
932;6,34664E+12;Parametro Correto
926;2,534E+12;Parametro Correto
3097;5,35371E+12;Parametro Correto
924;2,83366E+13;Parametro Correto
922;3,57332E+12;Parametro Correto
921;2,31132E+13;Parametro Correto
2078;1,53819E+12;Parametro Correto
904;5,46685E+13;Parametro Correto
3751;1,49591E+13;Parametro Correto
880;3,33183E+13;Parametro Correto
