1;06136322000149;Parametro Correto
19;12850599000131;Parametro Correto
22;07589700000102;Parametro Correto
233;01382850000164;Parametro Correto
343;71753677000149;Parametro Correto
417;07075580000125;Parametro Correto
665;23807624000110;Parametro Correto
1193;03448946000103;Parametro Correto
1262;24982859000101;Parametro Correto
1832;30659586000161;Parametro Correto
2001;31227098000148;Parametro Correto
2970;01538188000199;Parametro Correto
1176;32176549000128;Parametro Correto
