125;00668328000180;FIRE FIGHTING BOMBEIROS INDUSTRIAIS LTDA;Lucro Presumido
293;13881609000169;RF VALINHOS COMERCIO E SERVICOS AUTOMOTIVOS LTDA;Lucro Real
1167;07613479000180;INOVA INDUSTRIA E COMERCIO DE EMBALAGENS LTDA;Lucro Presumido
1194;19002553000101;ACCELERARE DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS LTDA;Lucro Presumido
1197;05359515000104;AC-TEC TECNOLOGIA EM CONTROLE DE ACESSO E IDENTIFICACAO LTDA;Lucro Presumido
1207;02901753000101;AGILISE COSMETICOS INDUSTRIA E COMERCIO LTDA;Lucro Presumido
1361;14450504000118;BRASILFRIGO PECAS E EQUIPAMENTOS LTDA;Lucro Presumido
1448;36686066000124;RAPIDO VINHEDOS TRANSPORTES LTDA;Lucro Real
1543;00221616000192;COLOMAQ COMERCIO E LOCACAO DE MAQUINAS LTDA;Lucro Presumido
1731;02310481000167;DRUCK CHEMIE BRASIL LTDA;Lucro Real
1824;02026752000157;EXPRESSO LINE LOCACAO DE AUTOMOVEIS VALINHOS LTDA;Lucro Presumido
1858;02120773000137;INSTRUCAMP INSTRUMENTOS DE MEDICAO LTDA;Lucro Real
1872;17765036000169;RL ILUMINACAO LTDA;Lucro Presumido
2034;04136272000174;METROWATT COMERCIO E MANUTENCAO LTDA;Lucro Presumido
2104;25242137000183;TONUTRI BRASIL LTDA;Lucro Presumido
2149;00839113000185;E L ZORDAN REPRESENTACOES COMERCIAIS LTDA;Lucro Presumido
2221;20089999000102;VITA PET FABRICACAO DE PRODUTOS ALIMENTICIOS PARA ANIMAIS LTDA;Lucro Presumido
2223;13535765000178;SSI EQUIPAMENTOS INDUSTRIAIS LIMITADA;Lucro Presumido
2515;05192092000172;NOVA ATACADO IMPORTACAO E EXPORTACAO LTDA;Lucro Real
2527;48656375000130;JOLA MATERIAIS PARA CONSTRUCAO LTDA;Lucro Real
2561;11638790000151;IMEDIATO VALVULAS E CONEXOES LTDA;Lucro Presumido
3198;50888122000134;JPM EMPREENDIMENTOS E CONSTRUCOES LTDA;Lucro Presumido
3204;02079340000185;SIQUEIRA & CARBONARI LTDA;Lucro Presumido
3653;48738619000124;BAG IN INDUSTRIA E COMERCIO DE EMBALAGENS LTDA - R;Lucro Presumido
4992;71691463000195;VECTORCONTROL INDUSTRIA E COMERCIO DE PRODUTOS AGROPECUARIOS LTDA - R;Lucro Presumido
